Strains	Ensifer_adhaerens_AG1206	Ensifer_adhaerens_Casida_A	Ensifer_adhaerens_L18	Ensifer_adhaerens_M78	Ensifer_adhaerens_OV14	Ensifer_adhaerens_SD006	Ensifer_adhaerens_ST2	Ensifer_adhaerens_WJB133_25_10	Ensifer_alkalisoli_YIC4027	Ensifer_aridi_JNVU_TP6	Ensifer_aridi_LEM451	Ensifer_aridi_LEM457	Ensifer_aridi_LMR001	Ensifer_aridi_LMR013	Ensifer_aridi_TW10	Ensifer_glycinis_CCBAU_23380	Ensifer_morelense_Lc04	Ensifer_psoraleae_CCBAU_65732	Ensifer_sesbaniae_CCBAU_65729	Ensifer_shofinae_CCBAU_251167	Ensifer_sojae_CCBAU_05684	Ensifer_sp_1H6	Ensifer_sp_AP48	Ensifer_sp_BR816	Ensifer_sp_LC11	Ensifer_sp_LC13	Ensifer_sp_LC14	Ensifer_sp_LC163	Ensifer_sp_LC384	Ensifer_sp_LC499	Ensifer_sp_LC54	Ensifer_sp_LCM_4579	Ensifer_sp_M14	Ensifer_sp_MMN_5	Ensifer_sp_NM_2	Ensifer_sp_OV372	Ensifer_sp_Root1252	Ensifer_sp_Root127	Ensifer_sp_Root1298	Ensifer_sp_Root1312	Ensifer_sp_Root142	Ensifer_sp_Root231	Ensifer_sp_Root258	Ensifer_sp_Root278	Ensifer_sp_Root31	Ensifer_sp_Root423	Ensifer_sp_Root558	Ensifer_sp_Root74	Ensifer_sp_Root954	Ensifer_sp_T2_8	Ensifer_sp_USDA_6670	Ensifer_sp_WSM1721	Ensifer_sp_YR511	Ensifer_sp_ZNC0028	Sinorhizobium_americanum_CCGM7	Sinorhizobium_americanum_CFNEI_156	Sinorhizobium_americanum_CFNEI_73	Sinorhizobium_americanum_FG01	Sinorhizobium_americanum_NG07B	Sinorhizobium_arboris_LMG_14919	Sinorhizobium_fredii_CCBAU_05557	Sinorhizobium_fredii_CCBAU_25509	Sinorhizobium_fredii_CCBAU_45436	Sinorhizobium_fredii_CCBAU_83622	Sinorhizobium_fredii_CCBAU_83643	Sinorhizobium_fredii_CCBAU_83666	Sinorhizobium_fredii_CCBAU_83753	Sinorhizobium_fredii_GR64	Sinorhizobium_fredii_HH103	Sinorhizobium_fredii_NGR234	Sinorhizobium_fredii_NXT3	Sinorhizobium_fredii_PCH1	Sinorhizobium_fredii_USDA_205	Sinorhizobium_fredii_USDA_257	Sinorhizobium_medicae_DI28	Sinorhizobium_medicae_Str1	Sinorhizobium_medicae_Str10	Sinorhizobium_medicae_Str11	Sinorhizobium_medicae_Str12	Sinorhizobium_medicae_Str13	Sinorhizobium_medicae_Str14	Sinorhizobium_medicae_Str15	Sinorhizobium_medicae_Str16	Sinorhizobium_medicae_Str17	Sinorhizobium_medicae_Str18	Sinorhizobium_medicae_Str3	Sinorhizobium_medicae_Str6	Sinorhizobium_medicae_Str7	Sinorhizobium_medicae_Str8	Sinorhizobium_medicae_Str9	Sinorhizobium_medicae_WSM1115	Sinorhizobium_medicae_WSM1369	Sinorhizobium_medicae_WSM244	Sinorhizobium_medicae_WSM419	Sinorhizobium_meliloti_1021	Sinorhizobium_meliloti_1A42	Sinorhizobium_meliloti_2011	Sinorhizobium_meliloti_4H41	Sinorhizobium_meliloti_5A14	Sinorhizobium_meliloti_A0641M	Sinorhizobium_meliloti_A0643DD	Sinorhizobium_meliloti_AC50a	Sinorhizobium_meliloti_AE608H	Sinorhizobium_meliloti_AK11	Sinorhizobium_meliloti_AK170	Sinorhizobium_meliloti_AK555	Sinorhizobium_meliloti_AK58	Sinorhizobium_meliloti_AK75	Sinorhizobium_meliloti_AK83	Sinorhizobium_meliloti_B399	Sinorhizobium_meliloti_B401	Sinorhizobium_meliloti_BL225C	Sinorhizobium_meliloti_BM806	Sinorhizobium_meliloti_BO21CC	Sinorhizobium_meliloti_C0431A	Sinorhizobium_meliloti_C0438LL	Sinorhizobium_meliloti_CCMM_B554_FSM_MA	Sinorhizobium_meliloti_CCNWSX0020	Sinorhizobium_meliloti_CIAM1775	Sinorhizobium_meliloti_CXM1_105	Sinorhizobium_meliloti_DSM_23914	Sinorhizobium_meliloti_GR4	Sinorhizobium_meliloti_GVPV12	Sinorhizobium_meliloti_H1	Sinorhizobium_meliloti_HM006	Sinorhizobium_meliloti_KH35c	Sinorhizobium_meliloti_KH46	Sinorhizobium_meliloti_L5_30	Sinorhizobium_meliloti_M162	Sinorhizobium_meliloti_M270	Sinorhizobium_meliloti_Mlalz_1	Sinorhizobium_meliloti_MVII_I	Sinorhizobium_meliloti_Rm41	Sinorhizobium_meliloti_RMO17	Sinorhizobium_meliloti_RRl128	Sinorhizobium_meliloti_RU11_011	Sinorhizobium_meliloti_SM11	Sinorhizobium_meliloti_T073	Sinorhizobium_meliloti_USDA1021	Sinorhizobium_meliloti_USDA1106	Sinorhizobium_meliloti_USDA1157	Sinorhizobium_meliloti_WSM1022	Sinorhizobium_meliloti_WSM4191	Sinorhizobium_saheli_LMG_7837	Sinorhizobium_sp_A49	Sinorhizobium_sp_BJ1	Sinorhizobium_sp_CCBAU_05631	Sinorhizobium_sp_FG01	Sinorhizobium_sp_GL2	Sinorhizobium_sp_GL28	Sinorhizobium_sp_GW3	Sinorhizobium_sp_LM21	Sinorhizobium_sp_M4_45	Sinorhizobium_sp_NFACC03	Sinorhizobium_sp_NG07B	Sinorhizobium_sp_PC2	Sinorhizobium_sp_Sb3
Ensifer_aridi_LEM451	80.24	80.46	80.50	81.05	80.59	81.17	80.48	80.40	84.30	98.13	100	99.02	98.44	98.35	98.09	86.73	80.67	85.45	81.44	86.07	84.98	80.68	80.99	86.40	81.16	81.18	81.17	81.53	81.35	81.15	81.39	84.18	80.64	86.09	80.47	80.41	80.48	80.42	80.29	80.30	80.43	80.50	80.48	80.96	80.50	80.21	80.34	80.29	80.25	86.47	86.26	95.59	80.16	80.52	86.27	86.25	86.28	86.65	86.64	86.10	86.15	86.22	86.15	86.30	86.22	86.14	86.23	86.51	86.06	86.22	86.81	85.96	86.46	86.55	85.20	84.80	85.01	84.84	84.83	84.88	84.76	85.00	84.96	84.76	85.09	85.05	85.00	85.10	85.11	84.46	85.13	85.18	85.07	85.18	86.43	86.00	86.41	86.37	86.32	85.97	85.96	86.32	86.20	86.01	86.63	86.37	86.35	85.85	86.37	86.74	86.51	86.34	86.38	86.36	85.99	86.24	86.36	86.28	86.34	86.39	86.39	86.19	86.45	86.06	86.37	86.37	86.18	86.44	86.37	85.62	86.28	86.07	86.36	86.35	86.22	86.06	86.29	86.17	86.35	86.39	86.30	86.27	85.09	87.83	80.85	86.66	86.27	86.65	80.18	81.04	80.19	80.29	86.26	81.05	86.64	98.22	81.21
Ensifer_aridi_LEM457	80.38	80.57	80.63	81.05	80.85	81.22	80.56	80.53	84.44	98.37	99.02	100	98.85	98.81	98.44	86.75	80.70	85.67	81.56	86.16	84.97	80.80	80.98	86.37	81.23	81.24	81.23	81.53	81.52	81.21	81.56	84.43	80.71	86.17	80.56	80.48	80.63	80.51	80.42	80.44	80.60	80.65	80.64	80.98	80.61	80.37	80.38	80.43	80.39	86.49	86.30	95.84	80.18	80.61	86.27	86.20	86.21	86.56	86.54	86.24	86.24	86.25	86.25	86.25	86.06	86.09	86.20	86.34	86.12	86.21	86.62	86.06	86.33	86.55	85.44	85.06	85.23	85.19	85.18	85.04	85.13	85.17	85.17	85.00	85.32	85.37	85.19	85.30	85.31	84.81	85.44	85.44	85.39	85.33	86.49	85.98	86.47	86.42	86.38	86.10	86.15	86.27	86.28	85.96	86.50	86.41	86.37	85.76	86.43	86.74	86.52	86.38	86.41	86.36	86.00	86.28	86.41	86.22	86.28	86.41	86.42	86.31	86.32	86.02	86.39	86.38	86.34	86.43	86.41	85.77	86.28	86.25	86.42	86.41	86.24	86.27	86.34	86.32	86.38	86.48	86.37	86.30	85.23	87.96	81.04	86.67	86.29	86.56	80.26	81.03	80.31	80.42	86.33	81.00	86.54	98.51	81.03
Ensifer_aridi_LMR001	80.24	80.43	80.65	81.13	80.82	81.23	80.65	80.47	84.38	98.50	98.44	98.85	100	99.36	98.49	86.80	80.73	85.65	81.72	86.32	84.88	80.84	81.04	85.96	81.22	81.23	81.22	81.45	81.48	81.20	81.52	85.12	80.68	86.15	80.48	80.43	80.54	80.37	80.23	80.25	80.45	80.56	80.53	81.09	80.51	80.28	80.35	80.24	80.21	86.51	86.33	95.81	80.07	80.67	85.93	86.05	86.06	86.14	86.20	87.34	86.37	86.23	86.45	86.35	86.21	86.32	86.33	85.98	86.12	86.23	86.18	86.33	86.48	86.65	85.41	85.10	85.25	85.21	85.21	85.11	85.14	85.27	85.23	85.05	85.29	85.40	85.28	85.39	85.30	84.92	85.45	85.33	85.36	85.39	86.44	85.95	86.42	85.96	86.42	86.16	86.18	86.24	86.44	86.01	86.41	86.40	86.31	85.79	86.32	86.72	86.55	86.42	86.38	86.42	86.09	86.33	86.33	86.17	86.28	86.46	86.39	86.24	86.05	86.11	86.50	86.40	86.30	86.39	86.43	85.75	86.20	86.30	86.47	86.43	86.23	86.30	86.32	86.39	86.42	86.41	86.32	86.34	85.19	88.02	80.99	86.73	86.45	86.14	80.26	81.10	80.17	80.34	86.35	81.08	86.20	98.62	81.08
Ensifer_aridi_LMR013	80.31	80.44	80.62	81.05	80.80	81.14	80.61	80.52	84.35	98.41	98.35	98.81	99.36	100	98.38	86.70	80.71	85.71	81.59	86.33	84.80	80.77	81.05	85.90	81.22	81.24	81.21	81.53	81.52	81.21	81.54	85.14	80.70	86.16	80.45	80.46	80.57	80.45	80.23	80.25	80.44	80.58	80.56	81.05	80.43	80.24	80.37	80.25	80.22	86.62	86.39	95.74	80.15	80.65	85.72	85.81	85.84	86.12	86.15	87.31	86.35	86.36	86.35	86.25	86.16	86.25	86.29	86.14	86.19	86.24	85.99	86.15	86.46	86.52	85.39	85.07	85.20	85.19	85.14	85.09	85.07	85.26	85.16	85.00	85.34	85.39	85.19	85.31	85.24	84.88	85.36	85.35	85.38	85.39	86.37	86.02	86.35	86.08	86.43	85.85	86.23	86.27	86.30	86.07	86.48	86.31	86.42	85.82	86.54	86.68	86.53	86.43	86.45	86.38	86.10	86.33	86.39	86.26	86.39	86.39	86.51	86.22	86.10	85.95	86.54	86.45	86.30	86.48	86.44	85.62	86.26	86.31	86.50	86.32	86.40	86.32	86.47	86.20	86.45	86.37	86.36	86.38	85.18	87.92	80.88	86.57	86.24	86.12	80.28	81.09	80.23	80.29	86.41	81.07	86.15	98.74	80.98
Ensifer_aridi_TW10	80.39	80.46	80.75	81.12	80.63	81.12	80.61	80.59	84.40	99.79	98.09	98.44	98.49	98.38	100	86.83	80.71	85.76	81.51	86.54	85.05	80.77	80.80	85.94	81.13	81.14	81.13	81.55	81.53	81.11	81.56	84.69	80.81	86.11	80.56	80.46	80.60	80.48	80.42	80.44	80.40	80.61	80.59	80.96	80.56	80.42	80.40	80.43	80.40	86.55	86.39	95.80	80.21	80.64	85.84	85.88	85.89	86.25	86.14	86.47	86.41	86.52	86.42	86.40	86.38	86.44	86.46	86.05	86.41	86.40	86.18	86.44	86.61	86.71	85.32	84.95	85.05	85.12	84.98	84.89	85.02	85.14	85.02	84.77	85.33	85.29	85.15	85.23	85.22	84.86	85.30	85.50	85.27	85.29	86.42	85.98	86.42	86.09	86.33	86.10	86.10	86.33	86.38	85.96	86.47	86.34	86.41	85.94	86.50	86.66	86.69	86.54	86.45	86.36	86.15	86.30	86.50	86.42	86.30	86.56	86.52	86.11	85.99	86.13	86.54	86.48	86.42	86.47	86.44	85.84	86.26	86.27	86.44	86.55	86.21	86.23	86.41	86.29	86.37	86.41	86.44	86.30	85.06	87.98	80.97	87.24	86.47	86.25	80.30	81.12	80.29	80.36	86.34	80.94	86.14	98.89	81.04
Ensifer_glycinis_CCBAU_23380	80.72	80.80	81.05	81.31	80.73	81.39	80.83	80.86	84.73	86.94	86.73	86.75	86.80	86.70	86.83	100	80.96	84.92	81.56	91.56	86.29	80.82	81.23	90.53	81.54	81.55	81.53	81.58	81.69	81.52	81.71	84.66	80.82	84.61	80.65	80.77	80.70	80.61	80.82	80.84	80.59	80.73	80.71	81.21	80.72	80.74	80.70	80.82	80.80	84.82	84.51	86.61	80.55	81.03	90.74	90.85	90.77	91.03	91.14	84.82	92.30	92.10	92.35	92.11	91.76	91.65	92.30	90.85	92.36	91.57	91.09	91.39	92.01	92.21	83.97	83.53	83.60	83.72	83.63	83.49	83.76	83.63	83.65	83.41	83.69	83.88	83.76	83.81	83.69	83.23	83.96	83.89	83.82	83.79	84.82	84.54	84.78	84.54	84.50	84.43	84.61	84.58	84.66	84.28	84.73	84.67	84.64	84.22	84.73	85.14	84.85	84.66	84.67	84.81	84.41	84.61	84.71	84.62	84.73	84.68	84.74	84.83	84.47	84.66	84.68	84.81	84.52	84.68	84.42	84.06	84.52	84.69	84.71	84.62	84.71	84.50	84.66	84.69	84.71	84.72	84.59	84.70	83.65	86.35	81.06	91.61	91.61	91.03	80.65	81.22	80.65	80.78	84.84	81.14	91.14	87.14	81.31
Ensifer_morelense_Lc04	84.55	84.67	84.74	85.00	91.98	92.39	84.56	84.57	79.47	80.64	80.67	80.70	80.73	80.71	80.71	80.96	100	81.44	84.80	79.53	80.19	92.20	85.12	80.45	85.15	85.15	85.17	92.64	92.46	85.15	92.47	79.90	94.88	80.34	91.97	84.67	92.08	92.04	84.41	84.42	92.05	92.08	92.09	84.99	92.07	84.56	84.59	84.42	84.40	80.39	80.46	80.74	84.29	84.94	80.22	80.43	80.49	80.50	80.51	80.33	80.56	80.44	80.52	80.55	80.59	80.46	80.42	80.42	80.47	80.41	80.28	80.51	80.57	80.42	79.75	79.52	79.61	79.80	79.56	79.52	79.88	79.72	79.60	79.45	79.80	79.88	79.79	79.83	79.61	79.43	79.79	79.95	79.64	79.73	80.43	80.16	80.42	80.32	80.47	80.13	80.45	80.31	80.55	80.40	80.56	80.60	80.47	80.32	80.58	81.01	80.70	80.40	80.41	80.42	80.22	80.45	80.48	80.41	80.56	80.50	80.43	80.31	80.21	80.45	80.29	80.50	80.37	80.55	80.73	80.04	80.42	80.45	80.37	80.39	80.35	80.47	80.45	80.46	80.44	80.38	80.18	80.43	79.57	80.65	95.07	80.38	80.50	80.50	84.60	84.96	84.51	84.48	80.30	85.18	80.51	80.19	84.69
Ensifer_psoraleae_CCBAU_65732	80.71	81.07	81.11	81.74	81.19	81.68	80.92	80.82	83.02	85.77	85.45	85.67	85.65	85.71	85.76	84.92	81.44	100	82.09	84.39	83.48	81.32	81.61	84.26	81.74	81.76	81.74	82.29	82.15	81.74	82.18	83.24	81.18	84.33	81.10	80.94	81.08	81.04	80.71	80.72	81.12	81.11	81.10	81.70	81.12	80.88	80.95	80.73	80.69	84.67	84.49	85.65	80.53	81.08	84.27	84.20	84.22	84.64	84.63	84.60	84.47	84.39	84.48	84.51	84.46	84.51	84.46	84.38	84.50	84.34	84.60	84.38	84.60	84.95	83.73	83.43	83.55	83.63	83.50	83.57	83.53	83.50	83.58	83.55	83.75	83.76	83.57	83.66	83.70	83.21	83.67	83.78	83.69	83.59	84.68	84.25	84.63	84.38	84.79	84.55	84.64	84.47	84.84	84.48	84.70	84.76	84.56	84.28	84.81	84.90	84.97	84.59	84.57	84.58	84.37	84.66	84.64	84.67	84.54	84.77	84.59	84.63	84.42	84.58	84.64	84.44	84.64	84.70	84.51	84.04	84.71	84.61	84.63	84.67	84.40	84.65	84.76	84.60	84.72	84.65	84.59	84.47	83.50	84.73	81.44	84.93	84.67	84.64	80.78	81.28	80.65	80.84	84.43	81.38	84.63	85.52	81.63
Ensifer_sesbaniae_CCBAU_65729	90.36	90.73	90.72	92.90	84.68	85.05	90.35	90.72	80.71	81.52	81.44	81.56	81.72	81.59	81.51	81.56	84.80	82.09	100	80.76	80.39	84.80	92.87	81.08	91.24	91.20	91.20	85.47	85.40	91.19	85.42	80.56	84.51	80.58	84.62	90.76	84.58	84.59	90.63	90.64	84.60	84.59	84.58	92.85	84.39	90.67	90.64	90.65	90.62	80.79	80.66	81.43	90.44	90.75	81.07	81.06	81.04	81.34	81.53	80.82	81.20	81.44	81.22	81.30	81.11	81.30	81.15	81.18	81.34	81.18	81.37	81.18	81.32	81.19	80.26	79.85	79.97	80.12	79.94	79.88	80.08	80.06	79.98	79.89	80.18	80.17	80.08	80.11	80.00	79.64	80.16	80.37	80.10	80.23	80.81	80.46	80.79	80.77	80.76	80.62	80.83	81.01	80.84	80.56	80.87	80.90	80.75	80.49	80.99	81.30	81.01	80.80	80.78	80.72	80.56	80.82	80.84	80.62	80.77	80.79	80.79	80.67	80.69	80.77	80.79	80.81	80.64	80.75	80.80	80.35	80.80	80.68	80.65	80.70	80.67	80.73	80.77	80.79	80.83	80.78	80.63	80.66	79.99	81.78	84.77	81.27	81.30	81.34	90.50	92.68	90.47	90.56	80.69	92.86	81.53	81.47	92.67
Ensifer_shofinae_CCBAU_251167	79.51	79.73	79.90	80.37	79.93	80.40	79.77	79.76	84.36	86.57	86.07	86.16	86.32	86.33	86.54	91.56	79.53	84.39	80.76	100	85.59	79.96	80.05	89.87	80.77	80.78	80.77	80.59	80.56	80.76	80.59	84.34	79.62	84.05	79.91	79.98	79.83	79.74	79.56	79.57	79.77	79.85	79.83	80.33	79.71	79.91	79.73	79.57	79.57	84.28	84.36	86.17	79.27	79.68	89.53	89.69	89.66	89.58	89.74	84.32	91.55	91.59	91.58	91.50	91.47	91.75	91.63	90.72	91.59	90.97	89.40	91.53	91.43	91.54	83.20	82.82	82.91	83.04	82.87	82.82	83.06	83.00	82.95	82.64	83.12	83.19	83.14	83.13	83.15	82.57	83.16	83.31	83.07	83.20	84.25	83.85	84.10	84.03	84.10	83.40	83.68	84.21	84.05	83.68	84.28	84.01	84.03	83.54	84.14	84.46	84.49	84.20	84.11	84.28	83.92	83.96	84.21	84.36	84.15	84.31	84.21	83.96	83.98	84.07	84.24	84.02	84.22	84.13	84.15	83.53	84.15	83.96	84.13	84.29	84.03	83.95	84.05	83.81	84.18	84.21	83.79	84.22	83.01	85.71	79.91	91.11	90.70	89.60	79.51	80.30	79.47	79.81	84.20	80.11	89.74	86.41	80.35
Ensifer_sojae_CCBAU_05684	79.69	79.80	80.03	80.10	80.00	80.41	79.88	79.75	91.37	85.03	84.98	84.97	84.88	84.80	85.05	86.29	80.19	83.48	80.39	85.59	100	80.19	80.07	84.68	80.31	80.32	80.31	80.61	80.60	80.30	80.65	91.51	79.88	83.25	79.93	79.80	79.92	79.96	79.64	79.65	79.99	79.94	79.91	80.03	79.93	79.74	79.76	79.66	79.66	83.62	83.47	84.81	79.52	79.99	84.73	84.47	84.51	84.96	84.97	83.56	86.08	86.39	86.08	86.20	85.97	85.61	86.03	84.62	86.29	85.35	84.86	85.32	85.48	85.99	82.84	82.27	82.38	82.56	82.32	82.39	82.57	82.66	82.43	82.22	82.66	82.65	82.63	82.69	82.65	82.00	82.80	82.88	82.75	82.69	83.60	83.26	83.58	83.37	83.46	83.15	83.32	83.31	83.42	83.20	83.66	83.47	83.47	83.07	83.53	83.92	83.63	83.43	83.62	83.57	83.12	83.31	83.56	83.39	83.54	83.50	83.51	83.46	83.27	83.48	83.33	83.49	83.42	83.38	83.23	82.72	83.36	83.46	83.46	83.45	83.52	83.45	83.33	83.38	83.57	83.49	83.30	83.61	82.51	84.72	80.06	85.06	85.64	84.96	79.51	79.95	79.59	79.77	83.30	80.11	84.97	85.04	79.92
Ensifer_sp_1H6	84.14	84.38	84.48	84.92	99.00	93.31	84.04	84.39	79.54	80.67	80.68	80.80	80.84	80.77	80.77	80.82	92.20	81.32	84.80	79.96	80.19	100	84.94	80.44	85.16	85.17	85.17	93.60	93.44	85.17	93.46	79.94	92.54	80.20	98.97	84.31	98.89	98.94	84.14	84.16	98.90	98.88	98.88	85.06	98.84	84.38	84.31	84.17	84.15	80.22	80.23	80.89	84.14	84.58	80.32	80.45	80.48	80.82	80.85	80.06	80.56	80.44	80.54	80.55	80.55	80.38	80.41	80.60	80.58	80.50	80.63	80.41	80.60	80.56	79.60	79.39	79.48	79.65	79.37	79.36	79.73	79.56	79.43	79.44	79.67	79.74	79.54	79.70	79.56	79.25	79.60	79.57	79.56	79.65	80.41	80.02	80.36	80.26	80.35	80.16	80.30	80.28	80.44	80.36	80.49	80.50	80.46	80.40	80.44	80.65	80.67	80.38	80.40	80.30	80.20	80.42	80.45	80.25	80.53	80.45	80.40	80.26	80.17	80.34	80.36	80.40	80.38	80.55	80.61	79.97	80.32	80.30	80.30	80.44	80.22	80.32	80.40	80.32	80.41	80.39	80.24	80.32	79.49	80.69	92.57	80.60	80.73	80.82	84.19	84.84	84.30	84.15	80.15	84.93	80.85	80.53	84.60
Ensifer_sp_AP48	91.06	91.24	91.37	96.73	84.89	85.37	90.99	91.21	79.80	80.90	80.99	80.98	81.04	81.05	80.80	81.23	85.12	81.61	92.87	80.05	80.07	84.94	100	80.63	91.61	91.62	91.61	85.65	85.60	91.60	85.61	80.10	84.91	80.29	84.87	91.07	84.93	84.85	91.07	91.09	84.92	84.95	84.94	97.92	84.64	91.03	91.12	91.09	91.06	80.54	80.37	81.09	90.91	91.02	80.54	80.64	80.67	80.88	80.86	80.44	80.99	80.76	80.96	80.73	80.77	80.72	80.73	80.99	80.90	81.01	80.77	80.74	80.82	80.65	79.87	79.73	79.77	79.84	79.68	79.66	79.79	79.77	79.76	79.62	79.80	79.91	79.74	79.82	79.71	79.33	79.83	79.98	79.77	79.86	80.61	80.32	80.60	80.47	80.62	80.26	80.53	80.34	80.57	80.40	80.62	80.65	80.65	80.48	80.69	80.73	80.75	80.44	80.53	80.38	80.21	80.53	80.59	80.48	80.69	80.53	80.43	80.60	80.44	80.47	80.61	80.74	80.47	80.71	80.75	80.10	80.52	80.52	80.39	80.55	80.39	80.53	80.56	80.57	80.49	80.60	80.47	80.56	79.76	80.83	85.14	80.73	80.87	80.88	90.94	97.91	90.97	91.00	80.31	98.67	80.86	80.79	97.51
Ensifer_sp_BR816	80.12	80.28	80.63	80.92	80.43	80.75	80.26	80.26	84.18	85.90	86.40	86.37	85.96	85.90	85.94	90.53	80.45	84.26	81.08	89.87	84.68	80.44	80.63	100	81.16	81.17	81.18	81.19	81.25	81.15	81.30	84.27	80.40	84.51	80.38	80.27	80.32	80.19	80.06	80.09	80.35	80.34	80.33	80.72	80.28	80.24	80.18	80.08	80.06	84.74	84.38	86.11	79.93	80.23	91.60	91.52	91.52	91.50	91.49	84.43	90.47	90.27	90.38	90.49	90.40	90.39	90.41	90.59	90.12	90.46	91.33	90.36	90.76	90.43	83.75	83.30	83.42	83.56	83.30	83.26	83.58	83.47	83.37	83.21	83.61	83.73	83.64	83.65	83.55	83.00	83.71	83.82	83.55	83.61	84.60	84.41	84.57	84.61	84.56	84.17	84.52	84.39	84.62	84.28	84.75	84.62	84.49	84.04	84.69	85.01	84.81	84.72	84.69	84.54	84.50	84.52	84.63	84.50	84.61	84.64	84.76	84.44	84.54	84.39	84.60	84.63	84.43	84.48	84.41	84.01	84.53	84.57	84.66	84.53	84.43	84.41	84.58	84.43	84.64	84.54	84.41	84.59	83.26	85.98	80.61	90.36	91.14	91.50	80.06	80.61	80.19	80.08	84.71	80.87	91.49	85.76	80.53
Ensifer_sp_LC11	91.18	91.30	91.41	91.61	85.08	85.48	91.15	91.34	80.28	81.10	81.16	81.23	81.22	81.22	81.13	81.54	85.15	81.74	91.24	80.77	80.31	85.16	91.61	81.16	100	100.00	99.99	86.03	85.87	100.00	85.88	80.54	85.12	80.66	85.14	91.29	85.12	85.17	91.19	91.20	85.20	85.15	85.12	91.68	85.05	91.16	91.29	91.21	91.17	80.73	80.90	81.15	91.22	91.10	80.79	81.04	81.05	81.19	81.25	80.59	81.17	81.10	81.07	81.19	81.11	81.09	81.15	81.32	81.13	81.28	81.04	80.97	81.16	81.14	79.89	79.75	79.76	79.84	79.72	79.70	79.90	79.80	79.75	79.64	79.88	79.95	79.71	79.90	79.81	79.39	79.88	80.24	79.74	79.92	80.76	80.43	80.58	80.75	80.72	80.41	80.76	80.80	80.58	80.54	80.79	80.61	80.69	80.26	80.87	81.10	80.96	80.66	80.67	80.64	80.42	80.80	80.72	80.57	80.72	80.82	80.67	80.61	80.57	80.72	80.49	80.75	80.71	80.69	80.78	80.27	80.72	80.71	80.71	80.58	80.56	80.74	80.74	80.56	80.71	80.76	80.53	80.70	79.70	81.24	85.17	81.08	81.15	81.19	91.20	91.45	91.17	91.22	80.69	91.54	81.25	81.10	91.41
Ensifer_sp_LC13	91.19	91.31	91.41	91.62	85.09	85.49	91.16	91.35	80.28	81.12	81.18	81.24	81.23	81.24	81.14	81.55	85.15	81.76	91.20	80.78	80.32	85.17	91.62	81.17	100.00	100	99.99	86.05	85.90	100.00	85.90	80.53	85.14	80.67	85.16	91.30	85.13	85.17	91.20	91.20	85.20	85.15	85.13	91.68	85.05	91.17	91.31	91.22	91.17	80.74	80.90	81.16	91.24	91.12	80.82	81.03	81.04	81.20	81.24	80.62	81.18	81.11	81.08	81.19	81.10	81.07	81.15	81.29	81.08	81.29	81.05	80.98	81.19	81.17	79.91	79.77	79.77	79.86	79.73	79.72	79.91	79.80	79.76	79.66	79.90	79.96	79.71	79.91	79.82	79.42	79.89	80.24	79.75	79.83	80.63	80.28	80.60	80.69	80.34	80.43	80.79	80.83	80.61	80.57	80.80	80.63	80.67	80.29	80.88	81.13	80.90	80.52	80.68	80.53	80.32	80.63	80.73	80.56	80.73	80.71	80.68	80.62	80.58	80.60	80.51	80.76	80.57	80.69	80.68	79.94	80.74	80.73	80.68	80.60	80.57	80.61	80.68	80.57	80.60	80.66	80.54	80.70	79.72	81.25	85.18	81.10	81.14	81.20	91.21	91.46	91.17	91.23	80.71	91.55	81.24	81.12	91.42
Ensifer_sp_LC14	91.18	91.30	91.40	91.61	85.08	85.47	91.16	91.36	80.27	81.10	81.17	81.23	81.22	81.21	81.13	81.53	85.17	81.74	91.20	80.77	80.31	85.17	91.61	81.18	99.99	99.99	100	86.03	85.88	99.99	85.88	80.52	85.14	80.67	85.14	91.29	85.12	85.15	91.20	91.19	85.19	85.14	85.12	91.67	85.05	91.15	91.29	91.21	91.17	80.74	80.89	81.14	91.23	91.12	80.79	81.04	81.04	81.20	81.25	80.61	81.16	81.10	81.06	81.19	81.10	81.08	81.13	81.28	81.08	81.23	81.04	80.98	81.16	81.14	79.91	79.78	79.79	79.87	79.74	79.74	79.94	79.82	79.78	79.66	79.91	79.96	79.72	79.93	79.82	79.42	79.91	80.25	79.77	79.85	80.63	80.28	80.60	80.68	80.34	80.44	80.79	80.81	80.61	80.57	80.80	80.64	80.68	80.31	80.88	81.12	80.91	80.52	80.68	80.53	80.36	80.63	80.74	80.56	80.72	80.71	80.68	80.61	80.57	80.60	80.51	80.77	80.57	80.70	80.68	79.94	80.74	80.72	80.68	80.59	80.57	80.61	80.67	80.57	80.59	80.66	80.54	80.71	79.73	81.26	85.18	81.08	81.15	81.20	91.20	91.45	91.17	91.23	80.69	91.55	81.25	81.11	91.42
