#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","12D1","SAMN10169604","PRJNA494485","GCA_003667905.1","Complete",5.44603,59.5297,"chromosome circular:NZ_CP033031.1/CP033031.1; chromosome linear:NZ_CP033032.1/CP033032.1; plasmid pTi12D1:NZ_CP033033.1/CP033033.1",,3,5005,"2018-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/667/905/GCA_003667905.1_ASM366790v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/905/GCF_003667905.1_ASM366790v1"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","A6","SAMN10169606","PRJNA494487","GCA_003667925.1","Complete",5.93913,58.4442,"chromosome circular:NZ_CP033027.1/CP033027.1; chromosome linear:NZ_CP033028.1/CP033028.1; plasmid pAtA6:NZ_CP033029.1/CP033029.1; plasmid pTiA6:NZ_CP033030.1/CP033030.1",,4,5403,"2018-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/667/925/GCA_003667925.1_ASM366792v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/925/GCF_003667925.1_ASM366792v1"
"Agrobacterium tumefaciens LBA4213 (Ach5)","Bacteria;Proteobacteria;Alphaproteobacteria","LBA4213 (Ach5)","SAMN03081534","PRJNA231114","GCA_000576515.1"," Chromosome",5.63069,58.5172,"chromosome circular:NZ_CP007225.1/CP007225.1; chromosome linear:NZ_CP007226.1/CP007226.1; plasmid pAt:NZ_CP007227.1/CP007227.1; plasmid pTi:NZ_CP007228.1/CP007228.1",,4,5138,"2014-02-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/515/GCA_000576515.1_ASM57651v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/576/515/GCF_000576515.1_ASM57651v1"
"Agrobacterium tumefaciens WRT31","Bacteria;Proteobacteria;Alphaproteobacteria","WRT31","SAMN02472045","PRJNA191529","GCA_000439225.1"," Chromosome",5.87875,58.368,"chromosome 1:NZ_CM002024.1/CM002024.1; chromosome 2:NZ_CM002025.1/CM002025.1","APLP01",4,5435,"2013-07-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/225/GCA_000439225.1_AtWRT31V1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/225/GCF_000439225.1_AtWRT31V1.0"
"Agrobacterium tumefaciens P4","Bacteria;Proteobacteria;Alphaproteobacteria","P4","SAMN02472044","PRJNA191528","GCA_000442985.1"," Chromosome",5.57094,58.4768,"chromosome 1:NZ_CM002258.1/CM002258.1; chromosome 2:NZ_CM002259.1/CM002259.1; plasmid pA:NZ_CM002260.1/CM002260.1","APJV01",3,5157,"2013-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/985/GCA_000442985.1_AtP4V1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/985/GCF_000442985.1_AtP4V1.0"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","186","SAMN07359232","PRJNA394767","GCA_002591665.1"," Chromosome",5.72079,59.4004,"chromosome circular:NZ_CM008376.1/CM008376.1; plasmid pTi:NZ_CM008377.1/CM008377.1","NNAQ01",22,5292,"2017-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/591/665/GCA_002591665.1_ASM259166v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/665/GCF_002591665.1_ASM259166v1"
"Mesorhizobium opportunistum WSM2075","Bacteria;Proteobacteria;Alphaproteobacteria","WSM2075","SAMN02232036","PRJNA33861","GCA_000176035.2","Complete",6.88444,62.9,"chromosome:NC_015675.1/CP002279.1",,1,6514,"2011-06-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/035/GCA_000176035.2_ASM17603v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/035/GCF_000176035.2_ASM17603v2"
"Mesorhizobium oceanicum","Bacteria;Proteobacteria;Alphaproteobacteria","B7","SAMN06054042","PRJNA354894","GCA_001889605.1","Complete",5.32456,65.0596,"chromosome:NZ_CP018171.1/CP018171.1; plasmid unnamed1:NZ_CP018172.1/CP018172.1",,2,5044,"2016-12-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/605/GCA_001889605.1_ASM188960v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/605/GCF_001889605.1_ASM188960v1"
"Mesorhizobium sp. WSM1497","Bacteria;Proteobacteria;Alphaproteobacteria","WSM1497","SAMN05178614","PRJNA323416","GCA_001672455.2","Complete",7.19812,62.4154,"chromosome:NZ_CP021070.1/CP021070.1; plasmid pWSM1497:NZ_CP021071.1/CP021071.1",,2,6654,"2017-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/455/GCA_001672455.2_ASM167245v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/672/455/GCF_001672455.2_ASM167245v2"
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2","Bacteria;Proteobacteria;Alphaproteobacteria","M9A.F.Ca.ET.002.03.1.2","SAMN09232642","PRJNA453501","GCA_003952365.1","Complete",6.41517,62.5,"chromosome:CP034443.1",,1,5799,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/365/GCA_003952365.1_ASM395236v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/365/GCF_003952365.1_ASM395236v1"
"Mesorhizobium australicum WSM2073","Bacteria;Proteobacteria;Alphaproteobacteria","WSM2073","SAMN02232035","PRJNA47287","GCA_000230995.3","Complete",6.20053,62.8,"chromosome:NC_019973.1/CP003358.1",,1,5795,"2012-12-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/995/GCA_000230995.3_ASM23099v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/995/GCF_000230995.2_ASM23099v3"
"Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M1D.F.Ca.ET.043.01.1.1","SAMN09232655","PRJNA453501","GCA_003952385.1","Complete",7.12791,63.4,"chromosome:CP034444.1",,1,6426,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/385/GCA_003952385.1_ASM395238v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/385/GCF_003952385.1_ASM395238v1"
"Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M2A.F.Ca.ET.043.02.1.1","SAMN09232656","PRJNA453501","GCA_003952405.1","Complete",6.70076,63.6,"chromosome:CP034445.1",,1,6066,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/405/GCA_003952405.1_ASM395240v1",
"Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1","Bacteria;Proteobacteria;Alphaproteobacteria","M2A.F.Ca.ET.046.03.2.1","SAMN09232661","PRJNA453501","GCA_003952425.1","Complete",7.37281,63.2,"chromosome:CP034449.1",,1,6607,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/425/GCA_003952425.1_ASM395242v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/425/GCF_003952425.1_ASM395242v1"
"Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M2A.F.Ca.ET.043.05.1.1","SAMN09232657","PRJNA453501","GCA_003952445.1","Complete",6.74919,63.6,"chromosome:CP034446.1",,1,6089,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/445/GCA_003952445.1_ASM395244v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/445/GCF_003952445.1_ASM395244v1"
"Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M1B.F.Ca.ET.045.04.1.1","SAMN09232659","PRJNA453501","GCA_003952465.1","Complete",7.77981,63.1,"chromosome:CP034448.1",,1,7050,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/465/GCA_003952465.1_ASM395246v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/465/GCF_003952465.1_ASM395246v1"
"Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M1E.F.Ca.ET.045.02.1.1","SAMN09232658","PRJNA453501","GCA_003952485.1","Complete",7.34839,63.2,"chromosome:CP034447.1",,1,6717,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/485/GCA_003952485.1_ASM395248v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/485/GCF_003952485.1_ASM395248v1"
"Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1","Bacteria;Proteobacteria;Alphaproteobacteria","M3A.F.Ca.ET.080.04.2.1","SAMN09232671","PRJNA453501","GCA_003952525.1","Complete",6.1656,63.3,"chromosome:CP034451.1",,1,5535,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/525/GCA_003952525.1_ASM395252v1",
"Mesorhizobium sp. DCY119","Bacteria;Proteobacteria;Alphaproteobacteria","DCY119","SAMN09829652","PRJNA485870","GCA_003590645.1"," Chromosome",4.83782,61.9,"chromosome:NZ_CP031834.1/CP031834.1",,1,4588,"2018-09-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/645/GCA_003590645.1_ASM359064v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/590/645/GCF_003590645.1_ASM359064v1"
"Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M4B.F.Ca.ET.058.02.1.1","SAMN09232665","PRJNA453501","GCA_003952505.1"," Chromosome",6.46166,63.7,"chromosome:CP034450.1",,1,5771,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/505/GCA_003952505.1_ASM395250v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/505/GCF_003952505.1_ASM395250v1"
"Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M7D.F.Ca.US.005.01.1.1","SAMN09232839","PRJNA453501","GCA_003952545.1"," Chromosome",7.16823,62.4,"chromosome:CP034453.1",,1,6670,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/545/GCA_003952545.1_ASM395254v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/545/GCF_003952545.1_ASM395254v1"
"Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M8A.F.Ca.ET.057.01.1.1","SAMN09232926","PRJNA453501","GCA_003952565.1"," Chromosome",6.62934,62.8,"chromosome:CP034454.1",,1,5751,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/565/GCA_003952565.1_ASM395256v1",
"Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M6A.T.Cr.TU.016.01.1.1","SAMN09232784","PRJNA453501","GCA_003952585.1"," Chromosome",6.78458,62.2,"chromosome:CP034452.1",,1,6239,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/585/GCA_003952585.1_ASM395258v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/585/GCF_003952585.1_ASM395258v1"
"Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1","Bacteria;Proteobacteria;Alphaproteobacteria","M1A.F.Ca.IN.022.06.1.1","SAMN09232994","PRJNA453501","GCA_003952605.1"," Chromosome",6.27841,63.2,"chromosome:CP034455.1",,1,5616,"2018-12-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/605/GCA_003952605.1_ASM395260v1",
"Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1","Bacteria;Proteobacteria;Alphaproteobacteria","M7A.F.Ce.TU.012.03.2.1","SAMN09233042","PRJNA453501","GCA_004006095.1"," Chromosome",6.72813,0,"chromosome:CP034779.1",,1,6264,"2019-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/006/095/GCA_004006095.1_ASM400609v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/006/095/GCF_004006095.1_ASM400609v1"
"Mesorhizobium japonicum MAFF 303099","Bacteria;Proteobacteria;Alphaproteobacteria","MAFF 303099","SAMD00061086","PRJNA18","GCA_000009625.1","Complete",7.5963,62.4657,"chromosome:NC_002678.2/BA000012.4; plasmid pMLa:NC_002679.1/BA000013.4; plasmid pMLb:NC_002682.1/AP003017.1",,3,7114,"2001-02-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/625/GCA_000009625.1_ASM962v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/625/GCF_000009625.1_ASM962v1"
"Mesorhizobium ciceri ca181","Bacteria;Proteobacteria;Alphaproteobacteria","ca181","SAMN02470606","PRJNA40923","GCA_000474725.1"," Chromosome",7.04148,60.9,"chromosome chr:NZ_CM002796.1/CM002796.1","ASTL01",1,5372,"2013-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/474/725/GCA_000474725.1_MciceriCa181_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/474/725/GCF_000474725.1_MciceriCa181_1.0"
"Mesorhizobium huakuii 7653R","Bacteria;Proteobacteria;Alphaproteobacteria","7653R","SAMN02904634","PRJNA48425","GCA_000709395.1"," Chromosome",6.88168,63.0275,"chromosome:NZ_CP006581.1/CP006581.1; plasmid pMHa:NZ_CP006582.1/CP006582.1; plasmid pMHb:NZ_CP006583.1/CP006583.1",,3,6275,"2014-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/395/GCA_000709395.1_ASM70939v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/395/GCF_000709395.1_ASM70939v1"
"Mesorhizobium loti NZP2037","Bacteria;Proteobacteria;Alphaproteobacteria","NZP2037","SAMN05217717","PRJNA325064","GCA_001676765.1","Complete",7.48174,62.7415,"chromosome:NZ_CP016079.1/CP016079.1; plasmid pML2037:NZ_CP016080.1/CP016080.1",,2,7006,"2016-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/765/GCA_001676765.1_ASM167676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/765/GCF_001676765.1_ASM167676v1"
"Mesorhizobium amorphae CCNWGS0123","Bacteria;Proteobacteria;Alphaproteobacteria","CCNWGS0123","SAMN04853078","PRJNA318467","GCA_001686985.1","Complete",7.34395,62.8379,"chromosome:NZ_CP015318.1/CP015318.1; plasmid pM0123a:NZ_CP015319.1/CP015319.1; plasmid pM0123b:NZ_CP015320.1/CP015320.1; plasmid pM0123c:NZ_CP015321.1/CP015321.1; plasmid pM0123d:NZ_CP015322.1/CP015322.1",,5,6632,"2016-07-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/686/985/GCA_001686985.1_ASM168698v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/686/985/GCF_001686985.1_ASM168698v1"
"Mesorhizobium loti","Bacteria;Proteobacteria;Alphaproteobacteria","TONO","SAMD00055564","PRJDB4891","GCA_002356515.1"," Chromosome",8.45215,62.5602,"chromosome:NZ_AP017605.1/AP017605.1; plasmid plasmid_1:NZ_AP017606.1/AP017606.1; plasmid plasmid_2:NZ_AP017607.1/AP017607.1; plasmid plasmid_3:NZ_AP017608.1/AP017608.1",,4,7831,"2016-08-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/515/GCA_002356515.1_MlotiTONO_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/515/GCF_002356515.1_MlotiTONO_1.0"
"Mesorhizobium ciceri biovar biserrulae WSM1271","Bacteria;Proteobacteria;Alphaproteobacteria","WSM1271","SAMN00713576","PRJNA48991","GCA_000185905.1","Complete",6.69003,62.5728,"chromosome:NC_014923.1/CP002447.1; plasmid pMESCI01:NC_014918.1/CP002448.1",,2,6264,"2011-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/905/GCA_000185905.1_ASM18590v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/905/GCF_000185905.1_ASM18590v1"
